id,title,content,keywords,category,status,sourceReviewId,createdAt,updatedAt
20,【外包装破损】抱歉让你久等了查…,【外包装破损】抱歉让你久等了，查看您的商品包装有破损，您检查下商品是否有问题呢，如您保留使用，基于您的会员服务和您的购物体验，为您申请*元网购优惠券，满*.01元即可使用，优惠券不支持叠加使用（门店和全球购商品不支持使用），使用期限60天，24小时内到账，您看可以吗？,"[""如您保留使用"",""使用期限60天"",""24小时内到账"",""您看可以吗""]",安抚反馈,active,128,2026-06-06T06:49:47.590Z,2026-06-06T08:50:19.009Z
21,时效内（签收48H）,非常抱歉给会员带来了不好的购物体验，您方便拍下现在商品的图片，我为您处理吗？,"[""我为您处理吗""]",物流,active,127,2026-06-06T06:49:47.598Z,2026-06-06T08:48:06.354Z
22,确认时时效内还是时效外,您的订单号提供一下呢，我马上帮您看看是什么情况哈,"[""客服""]",物流,active,126,2026-06-06T06:49:47.604Z,2026-06-06T08:48:08.252Z
23,（没有面单小票）感谢您的反馈由…,（没有面单小票）感谢您的反馈，由于商品没有相关信息可以核实，辛苦您将商品自行处理即可，同时也非常抱歉打扰到您了,"[""客服""]",安抚反馈,active,125,2026-06-06T06:49:47.610Z,2026-06-06T08:48:21.966Z
24,（提供了面单小票）非常抱歉打扰…,（提供了面单小票）非常抱歉打扰到您，同时也感谢您的反馈，我也会反馈到相关部门去核实具体情况，辛苦您先将商品保存,"[""客服""]",安抚反馈,active,124,2026-06-06T06:49:47.617Z,2026-06-06T08:48:23.804Z
25,进线人未下单收到商品,您现在方便提供一下面单或小票信息吗？我帮您看一下,"[""我帮您看一下""]",安抚反馈,active,123,2026-06-06T06:49:47.625Z,2026-06-06T08:48:25.980Z
26,要求补偿,非常抱歉耽误到您的使用了，基于您的会员服务和您的购物体验，为您申请*元网购优惠券，满*.01元即可使用，优惠券不支持叠加使用（门店和全球购商品不支持使用），使用期限60天，24小时内到账，您看可以吗？,"[""使用期限60天"",""24小时内到账"",""您看可以吗""]",安抚反馈,active,122,2026-06-06T06:49:47.631Z,2026-06-06T08:48:28.469Z
27,会员订单送错,您现在方便提供一下【外箱+商品6面的照片或者视频+面单或小票信息】吗？我帮您记录反馈,"[""我帮您记录反馈""]",安抚反馈,active,121,2026-06-06T06:49:47.638Z,2026-06-06T08:48:29.769Z
28,配送员没联系我,您可以查看下是否手机开启了骚扰拦截，您别着急，您现在是否还需要商品呢？,"[""您别着急""]",安抚反馈,active,110,2026-06-06T06:49:52.076Z,2026-06-06T08:48:31.357Z
29,为什么显示拒收,会员您好，为了保证食品安全，如配送员未联系上您会将商品优先退回仓库，商品您是否还需要呢？,"[""会员您好"",""为了保证食品安全""]",物流,active,109,2026-06-06T06:49:52.082Z,2026-06-06T08:48:37.913Z
30,浪费时间要求赔偿,我理解会员您的心情，换做是我我也会不高兴，您看这样，基于您的会员服务和您的购物体验，为您申请*元网购优惠券，满*.01元即可使用，优惠券不支持叠加使用（门店和全球购商品不支持使用），使用期限60天，24小时内到账，您看可以吗？,"[""您看这样"",""使用期限60天"",""24小时内到账"",""您看可以吗""]",安抚反馈,active,108,2026-06-06T06:49:52.089Z,2026-06-06T08:48:40.918Z
31,您反馈的这个问题我们也非常重视…,您反馈的这个问题我们也非常重视，我们会马上记录，争取不断优化给会员带来更好的体验,"[""我们会马上记录""]",安抚反馈,active,107,2026-06-06T06:49:52.096Z,2026-06-06T08:48:42.681Z
32,快递随便给我放其他地方,非常抱歉给会员您带来了不好的购物体验，您先检查下商品是否齐全，有没有损坏呢？,"[""有没有损坏呢""]",安抚反馈,active,106,2026-06-06T06:49:52.102Z,2026-06-06T08:48:44.309Z
33,无电话联系/不知道商品在哪,了解您的情况的，您可以先联系一下配送小哥，我也同步为您记录反馈处理，核实后会有专员电话联系您处理,"[""了解您的情况的""]",安抚反馈,active,105,2026-06-06T06:49:52.109Z,2026-06-06T08:48:45.816Z
34,不愿意自己联系,了解您的情况的，我马上为您反馈处理，但是需要一些时间，为了更好的解决您的问题建议您也可以同步申请退货哦,"[""了解您的情况的"",""但是需要一些时间""]",安抚反馈,active,104,2026-06-06T06:49:52.115Z,2026-06-06T08:48:47.285Z
35,已签收（全球购）,您的问题我这边已经了解，我会记录您的问题进行反馈，还请您保持手机畅通,"[""客服""]",物流,active,103,2026-06-06T06:49:52.122Z,2026-06-06T08:48:55.166Z
36,已签收（内贸）,会员您好，您的这个情况建议您先申请退货退款，或联系配送小哥先帮您取回,"[""会员您好""]",物流,active,102,2026-06-06T06:49:52.130Z,2026-06-06T08:48:56.699Z
37,未签收,会员您好，下单成功后无法修改订单信息，我为您查询配送员电话，您可以联系配送员拒收一下，拒收商品到仓后，预计24H左右为您退款,"[""会员您好"",""拒收商品到仓后""]",物流,active,101,2026-06-06T06:49:52.137Z,2026-06-06T08:48:58.667Z
38,全球配,好的会员，收到您的诉求，我们为您催促拦截您的订单，但是可能会拦截不成功，您接到电话后直接拒收就好啦~,"[""好的会员"",""收到您的诉求""]",物流,active,100,2026-06-06T06:49:56.723Z,2026-06-06T08:49:00.031Z
39,全城配&全国配,查看到您的订单已经在配送中了，您可以拒收订单，待商品拒收返回后，会在24H左右处理您的退款,"[""您可以拒收订单"",""待商品拒收返回后""]",物流,active,99,2026-06-06T06:49:56.730Z,2026-06-06T08:49:02.114Z
40,极速达（未配送）,查看到您的订单还未开始配送，您可以在订单里点击取消订单，订单取消后款项会返还至您支付的账户中,"[""客服""]",物流,active,98,2026-06-06T06:49:56.736Z,2026-06-06T08:49:03.949Z
41,极速达（配送中）,查看到您的订单已经在配送中了，您可以拒收订单，待商品拒收到仓后，会在24H左右处理您的退款,"[""您可以拒收订单"",""待商品拒收到仓后""]",物流,active,97,2026-06-06T06:49:56.743Z,2026-06-06T08:49:05.173Z
42,备注指定送达时间,亲爱的会员，我们无法备注配送时间，如果您有特殊需求，避免时间差，建议您也可以关注订单全程跟踪物流信息，有配送员电话更新后，您可以与配送员联系确定实际配送情况及您的具体需求，感谢您的理解。,"[""亲爱的会员"",""如果您有特殊需求"",""避免时间差"",""感谢您的理解""]",物流,active,96,2026-06-06T06:49:56.749Z,2026-06-06T08:49:07.202Z
43,修改手机号,尊敬的会员，下单成功后系统就无法修改手机号了，您可以待物流更新小哥的联系方式后，联系小哥帮您修改配送或取消订单重新下单哦,"[""尊敬的会员""]",物流,active,95,2026-06-06T06:49:56.756Z,2026-06-06T08:49:10.971Z
44,非会员进线修改地址,为了交易安全，请您通过下单的会员卡的注册手机号或者下单的会员卡绑定的App账号联系客服处理。,"[""为了交易安全""]",物流,active,94,2026-06-06T06:49:56.762Z,2026-06-06T08:49:09.670Z
45,会员要求转寄,您好，山姆不提供转寄服务。您可按照您希望送达的目的地重新下单，我们可以为您取消原订单，请确认是否为您取消原订单。,"[""您好""]",物流,active,93,2026-06-06T06:49:56.770Z,2026-06-06T08:50:16.887Z
46,需要修改地址会员,您好，收货地址不同，交易门店和商品库存可能发生变化，为了保障交易安全与秩序，客服无法为您修改已提交的订单收货地址。您可按照正确的地址重新下单，我们可以为您取消原订单，请确认是否为您取消原订单。,"[""您好"",""收货地址不同""]",物流,active,92,2026-06-06T06:49:56.776Z,2026-06-06T08:50:15.647Z
47,能不能改成配送,非常抱歉会员，如选择了【自提】，就无法更改为物流配送了，还请您谅解,"[""非常抱歉会员"",""如选择了【自提】"",""还请您谅解""]",物流,active,91,2026-06-06T06:49:56.783Z,2026-06-06T08:50:13.009Z
48,需要提前下单吗,会员您好，如需提前下单的会在页面提示，如生日蛋糕需要提前1-2天下单，下单后才能在选择日期进行自提哦,"[""会员您好""]",物流,active,90,2026-06-06T06:49:59.262Z,2026-06-06T08:50:10.907Z
49,怎么还不配送,会员您好，查询到您的订单是选择的【门店自提】，需要您前往对应门店取货哦~,"[""会员您好""]",物流,active,89,2026-06-06T06:49:59.268Z,2026-06-06T08:50:09.449Z
50,时效外催单,抱歉让你久等了，看到您的订单的确已经超时了，我马上帮您登记反馈，会尽快给您回电处理,"[""抱歉让你久等了""]",物流,active,88,2026-06-06T06:49:59.273Z,2026-06-06T08:50:07.925Z
51,时效内催单,查询到您的订单预计**送达，我们会根据您的地址及配送时间进行配送的，还请您放心，会按照预计时间送达的,"[""还请您放心""]",物流,active,87,2026-06-06T06:49:59.279Z,2026-06-06T08:46:46.261Z
52,全球购订单校验不通过,查询到您的订单为【全球购】订单，显示需要认证，您可以下载APP“掌上海关”/小程序，在“跨境电商个人消费信息”里面“跨境电商个人交易确认”里验证，验证后会为您发货配送的哦,"[""显示需要认证""]",物流,active,86,2026-06-06T06:49:59.286Z,2026-06-06T08:46:47.528Z
53,确认时时效内还是时效外,您的订单号提供一下呢，我马上帮您看看是什么情况哈,"[""客服""]",物流,active,85,2026-06-06T06:49:59.293Z,2026-06-06T08:46:49.441Z
54,部分商品全国配没有,亲爱的会员，仓库无货的情况下无法购买，并且部分商品全国配的仓库不售卖所以也无法使用该配送方式，所以以您下单配送方式为准哦，感谢您的理解。,"[""亲爱的会员"",""感谢您的理解""]",物流,active,84,2026-06-06T06:49:59.299Z,2026-06-06T08:46:56.184Z
55,时效外催单,抱歉让你久等了，看到您的订单的确已经超时了，我马上帮您登记反馈，会尽快给您回电处理,"[""抱歉让你久等了""]",物流,active,83,2026-06-06T06:49:59.306Z,2026-06-06T08:46:57.709Z
56,【时效内】为什么没物流,,"[""客服""]",物流,active,82,2026-06-06T06:49:59.313Z,2026-06-06T08:46:58.900Z
57,【时效内】一直未发货/无物流信息,查询到您的订单预计**送达，我们会根据您的地址及配送时间进行配送的，还请您放心，会按照预计时间送达的,"[""还请您放心""]",物流,active,81,2026-06-06T06:49:59.319Z,2026-06-06T08:47:00.580Z
58,确认时时效内还是时效外,您的订单号提供一下呢，我马上帮您看看是什么情况哈,"[""客服""]",物流,active,80,2026-06-06T06:50:01.289Z,2026-06-06T08:47:01.830Z
59,已发货,若订单已发货，暂不支持修改配送时间，若您不方便签收商品，建议您拒收后方便收货时再下单,"[""若订单已发货""]",物流,active,79,2026-06-06T06:50:01.296Z,2026-06-06T08:47:03.170Z
60,未发货,全城配订单暂不支持修改配送时间，建议您取消订单后重新下单。,"[""客服""]",物流,active,78,2026-06-06T06:50:01.302Z,2026-06-06T08:47:04.341Z
61,如果下次您比较着急的单子可以提…,如果下次您比较着急的单子，可以提前下单，也可以购买极速达的类似产品，这样也不会耽误您的使用，一般我们全城配的订单，16点之前下单的商品，次日都是可以到的,"[""可以提前下单"",""次日都是可以到的""]",物流,active,77,2026-06-06T06:50:01.309Z,2026-06-06T08:47:06.521Z
62,非常抱歉让您久等了非常理解您的…,非常抱歉让您久等了，非常理解您的心情，因为现在也是配送的高峰期，配送小哥已经在全力配送了，如果没有在配送时间到达耽误您的使用了，您可以随时联系我，我第一时间给您处理好。,"[""非常理解您的心情"",""您可以随时联系我""]",物流,active,76,2026-06-06T06:50:01.316Z,2026-06-06T08:47:07.774Z
63,告知无法催促的原因（解决40%不满）,理解您的着急，目前这个时段订单量较大，咱们的骑手按目前是按最优路径在加紧给大家配送的，保证在规定时间内给您送达到。,"[""理解您的着急""]",物流,active,75,2026-06-06T06:50:01.322Z,2026-06-06T08:47:10.491Z
64,备注指定送达时间,亲爱的会员，我们无法备注配送时间，如果您有特殊需求，避免时间差，建议您也可以关注订单全程跟踪物流信息，有配送员电话更新后，您可以与配送员联系确定实际配送情况及您的具体需求，感谢您的理解。,"[""亲爱的会员"",""如果您有特殊需求"",""避免时间差"",""感谢您的理解""]",物流,active,74,2026-06-06T06:50:01.328Z,2026-06-06T08:47:19.024Z
65,告知加急,好的，这边会帮您记录加急的,"[""好的""]",物流,active,73,2026-06-06T06:50:01.335Z,2026-06-06T08:47:20.628Z
66,没有配送的联系方式,你可以随时关注一下物流页面，等配送员的联系方式出来后可以和配送员协有是否能先送您这一单,"[""客服""]",物流,active,72,2026-06-06T06:50:01.341Z,2026-06-06T08:47:21.809Z
67,有联系方式,您如果确实比较着急，也可以联系我们配送小哥的电话，看看能不能加急先送您的单子，如果您联系不上小哥，可能这会在骑行路上，不方便接听，但是您放心，我们会在指定时间送达您的商品的。,"[""不方便接听"",""但是您放心""]",物流,active,71,2026-06-06T06:50:01.348Z,2026-06-06T08:47:23.076Z
68,查询到您的订单是【生鲜特送】订…,查询到您的订单是【生鲜特送】订单，生鲜特送订单当日21点前下单次日送达，21点后下单是隔日送到哦，您的订单预计**送达,"[""客服""]",物流,active,70,2026-06-06T06:50:04.083Z,2026-06-06T08:47:24.844Z
69,为什么不是当天送达,查询到您的订单是【全城配】订单，全城配订单当日16点前下单次日送达，16点后下单是隔日送到哦，您的订单预计**送达,"[""客服""]",物流,active,69,2026-06-06T06:50:04.090Z,2026-06-06T08:47:26.093Z
70,显示包裹不齐,确实非常抱歉，给您添麻烦了，目前是因为您下单购买的多个商品，导致没有同时到达您当地集散地，所以可能需要等待您的商品全部到达之后一起给您配送，以免出现多次让您取件的情况，感谢您的理解。,"[""确实非常抱歉"",""给您添麻烦了"",""感谢您的理解""]",物流,active,68,2026-06-06T06:50:04.096Z,2026-06-06T08:47:27.195Z
71,【时效外】,抱歉让你久等了，看到您的订单的确已经超时了，我马上帮您登记反馈，会尽快给您回电处理,"[""抱歉让你久等了""]",物流,active,67,2026-06-06T06:50:04.103Z,2026-06-06T08:47:28.382Z
72,【时效内】,看到您的订单，目前还是时效内的订单，您放心，配送小哥会按系统规划路线来给您配送的，如果超时没有送到，您就马上联系我，我这边第一时间给您处理。,"[""看到您的订单"",""您放心"",""如果超时没有送到"",""您就马上联系我""]",物流,active,66,2026-06-06T06:50:04.110Z,2026-06-06T08:47:31.276Z
73,确认时时效内还是时效外,您的订单号提供一下呢，我马上帮您看看是什么情况,"[""客服""]",物流,active,65,2026-06-06T06:50:04.117Z,2026-06-06T08:47:32.405Z
74,资源上限,,"[""客服""]",物流,active,64,2026-06-06T06:50:04.123Z,2026-06-06T08:47:33.632Z
75,已发货,若订单已发货，暂不支持修改配送时间，若您不方便签收商品，建议您拒收后方便收货时再下单,"[""若订单已发货""]",物流,active,63,2026-06-06T06:50:04.130Z,2026-06-06T08:47:35.563Z
76,未发货,"尊敬的会员，您好
极速达订单：若订单尚未发货，您可以点击【查询订单】后在【期望配送时间】最右侧点击“修改”后选择新的配送时间~
若无法修改配送时间，建议您取消订单重新下单。","[""尊敬的会员"",""您好"",""极速达订单"",""若订单尚未发货""]",物流,active,62,2026-06-06T06:50:04.139Z,2026-06-06T08:47:36.687Z
77,要求退款,非常抱歉让您久等了，看到目前您的订单已经拒收，等待商品拒收回店会尽快给您处理退款的，如您使用的是微信支付，商品回仓后24小时内就会给您处理退款，辛苦您耐心等待，感谢您的理解,"[""辛苦您耐心等待"",""感谢您的理解""]",物流,active,61,2026-06-06T06:50:04.145Z,2026-06-06T08:47:38.536Z
78,未收到电话被拒收了/未联系上拒收,非常抱歉给您带来不好的购物体验，咱们的配送员为了保证商品能够安全送达至您的手中，会优先电话联系您，未联系上您的情况下配送员会将商品带回仓，若您仍然需要商品，我帮您反馈二次配送您看可以吗,"[""会优先电话联系您"",""若您仍然需要商品""]",物流,active,60,2026-06-06T06:50:06.375Z,2026-06-06T08:47:40.477Z
79,非常抱歉让您久等了非常理解您的…,非常抱歉让您久等了，非常理解您的心情，因为现在也是配送的高峰期，配送小哥已经在全力配送了，如果没有在配送时间到达耽误您的使用了，您可以随时联系我，我第一时间给您处理好。,"[""非常理解您的心情"",""您可以随时联系我""]",物流,active,59,2026-06-06T06:50:06.382Z,2026-06-06T08:47:43.008Z
80,告知无法催促的原因（解决40%不满）,理解您的着急，目前这个时段订单量较大，咱们的骑手按目前是按最优路径在加紧给大家配送的，保证在规定时间内给您送达到。,"[""理解您的着急""]",物流,inactive,58,2026-06-06T06:50:06.388Z,2026-06-06T08:47:46.825Z
81,要求极速达和全城配一起配送,亲爱的会员，因极速达订单是从仓库发货，全城配订单是从门店发货，两个订单发货地址不一样，所以无法为您一起配送，感谢您的理解。,"[""亲爱的会员"",""感谢您的理解""]",物流,active,57,2026-06-06T06:50:06.396Z,2026-06-06T08:50:06.498Z
82,提前送达了,抱歉会员，可能小哥路途比较快给你提早送到，您先检查下商品呢，如果商品有任何问题都可以联系我们处理的,"[""抱歉会员"",""您先检查下商品呢""]",物流,active,56,2026-06-06T06:50:06.403Z,2026-06-06T08:50:03.927Z
83,不要小票,会员您好，商品配送时都会有小票，如果不想要小票，可以关注下物流信息，待配送员配送时尝试联系配送小哥将小票信息撕掉,"[""会员您好"",""如果不想要小票""]",商品,active,55,2026-06-06T06:50:06.409Z,2026-06-06T08:50:01.634Z
84,告知加急,好的，这边会帮您记录加急的,"[""好的""]",物流,active,54,2026-06-06T06:50:06.417Z,2026-06-06T08:49:59.544Z
85,没有配送的联系方式,你可以随时关注一下物流页面，等配送员的联系方式出来后可以和配送员协商有是否能先送您这一单,"[""客服""]",物流,active,53,2026-06-06T06:50:06.425Z,2026-06-06T08:49:58.007Z
86,有配送联系方式,您如果确实比较着急，也可以联系我们配送小哥的电话，看看能不能加急先送您的单子，如果您联系不上小哥，可能这会在骑行路上，不方便接听，但是您放心，我们会在指定时间送达您的商品的。,"[""不方便接听"",""但是您放心""]",物流,active,52,2026-06-06T06:50:06.432Z,2026-06-06T08:49:55.004Z
87,非常抱歉未能让您按时收到商品我…,非常抱歉未能让您按时收到商品，我们会将您的订单情况反应至物流进行核实，在获取物流回复后，我们会第一时间与您联系告知当前进度，还请您保持电话畅通，谢谢。,"[""在获取物流回复后"",""谢谢""]",安抚反馈,active,51,2026-06-06T06:50:06.439Z,2026-06-06T08:49:53.478Z
88,【时效外】,抱歉让你久等了，看到您的订单的确已经超时了，我马上帮您登记反馈，会尽快给您回电处理，您保持手机畅通,"[""抱歉让你久等了"",""您保持手机畅通""]",物流,active,50,2026-06-06T06:50:08.844Z,2026-06-06T08:49:51.675Z
89,看到您的订单目前还是时效内的订…,看到您的订单，目前还是时效内的订单，您放心，配送小哥会按系统规划路线来给您配送的，如果超时没有送到，您就马上联系我，我这边第一时间给您处理。,"[""看到您的订单"",""您放心"",""如果超时没有送到"",""您就马上联系我""]",物流,active,49,2026-06-06T06:50:08.851Z,2026-06-06T08:46:22.126Z
90,【时效内】,您先别着急，查看您的期望配送时间是xxx，目前还在配送范围内，建议您再耐心等待下，若后续商品到货，物流小哥也会第一时间与您联系,"[""您先别着急"",""若后续商品到货""]",物流,active,48,2026-06-06T06:50:08.860Z,2026-06-06T08:46:19.871Z
91,确认时时效内还是时效外,您的订单号提供一下呢，我马上帮您看看是什么情况哈,"[""客服""]",物流,active,47,2026-06-06T06:50:08.868Z,2026-06-06T08:46:17.260Z
92,不认可我现在不能使用极速达,您先别着急会员，您的问题我马上为您记录反馈，,"[""您先别着急会员""]",物流,active,46,2026-06-06T06:50:08.876Z,2026-06-06T08:46:15.916Z
93,我建议极速达**,非常理解您的心情，您也是我们的会员用户，肯定经常购买我们的产品，您说的这个我了解了，你们的需求我们都会收集下来，也是作为提升咱们会员满意度的建议,"[""非常理解您的心情""]",物流,active,45,2026-06-06T06:50:08.886Z,2026-06-06T08:46:13.025Z
94,同一个小区别人行，我不行,可能您的定位配送范围的边缘，建议您可以定位在小区门口看一下是否能出现极速达的商品推送，后续您在地址门牌号处填写详细楼栋地址即可（注意距离最好在50米内）,"[""客服""]",物流,active,44,2026-06-06T06:50:08.894Z,2026-06-06T08:46:11.504Z
95,理解您的心情可能是配送区域调整…,理解您的心情，可能是配送区域调整，您可以将地址删除，重新添加收货地址，按照省市区定位填写再尝试一下呢,"[""理解您的心情"",""您可以将地址删除"",""重新添加收货地址""]",物流,active,43,2026-06-06T06:50:08.902Z,2026-06-06T08:46:10.074Z
96,以前可以极速达,极速达的配送是需要参考门店库存及范围的，您填写地址后系统会自动判断您当前地址是否能支持，如果没有显示就是不支持的呢,"[""客服""]",物流,active,42,2026-06-06T06:50:08.909Z,2026-06-06T08:46:07.884Z
97,不能极速达/不能当天送达,会员您好，极速达的辐射范围是3-5公里，超出就无法配送了，您下单的时候就可以选择，如果不行的话，就是超出范围无法配送了，您也可以选择咱们的全城配或者全国配下单，也是很方便的。,"[""会员您好"",""超出就无法配送了"",""如果不行的话"",""也是很方便的""]",物流,active,41,2026-06-06T06:50:08.916Z,2026-06-06T08:46:06.202Z
98,追问更多,更多相关内容和规则在APP-我的-帮助中心-配送服务里面有说明展示，您也可以在APP内查看，感谢您的理解和支持,"[""客服""]",物流,active,40,2026-06-06T06:50:11.100Z,2026-06-06T08:46:03.150Z
99,为什么我住的这里没有定时达?,非常抱歉，因配送区域有限，目前我们对于配送区域也在改善，建议您后续关注，如您方便建议可以选择其他配送方式进行选购您心意的商品,"[""非常抱歉"",""因配送区域有限"",""建议您后续关注""]",物流,active,39,2026-06-06T06:50:11.106Z,2026-06-06T08:45:54.131Z
100,定时达和全城配有什么区别？,会员您好，时效提升到可以选择次日任一小时送达,"[""会员您好""]",物流,active,38,2026-06-06T06:50:11.113Z,2026-06-06T08:45:52.553Z
101,哪些地方有定时达？,会员您好，目前定时达覆盖城市有限，具体以您下单为准。,"[""会员您好"",""具体以您下单为准""]",物流,active,37,2026-06-06T06:50:11.119Z,2026-06-06T08:45:48.392Z
102,运费标准、包邮吗？,会员您好，购满 299元免20KG运费，每增加100元，可增加减免5KG运费，以此类推;超过重量按1元/KG加收续重运费，重量不足1KG按照1KG计收重量费用。运费规则具体您可以在订单结算页面查看哦。,"[""会员您好"",""购满"",""每增加100元"",""以此类推""]",物流,active,36,2026-06-06T06:50:11.127Z,2026-06-06T08:45:46.625Z
103,为什么会有定时达配送方式了呢？,会员您好，目前对于可支持配送的各收货城市将逐步试行升级同城次日配送时效，可以选择次日任一小时送达，具体详见确认订单页面“定时达”可选配送时段。,"[""会员您好""]",物流,active,35,2026-06-06T06:50:11.136Z,2026-06-06T08:45:41.217Z
104,非常抱歉让您久等了我查询了您的…,非常抱歉让您久等了，我查询了您的订单状况，目前是待配送的情况，由于极速达订单需由骑手接待后放可配送，目前因为天气原因，各区的运力都有所下降，给您带来不便，我们也非常抱歉。,"[""目前因为天气原因"",""给您带来不便"",""我们也非常抱歉""]",物流,active,34,2026-06-06T06:50:11.143Z,2026-06-06T08:45:38.104Z
105,您着急的心情我十分理解因为您配…,您着急的心情我十分理解，因为您配送地址所在的云仓正好遇到了暴雨，骑手在路上的骑行会受到影响，所以配送时效上会有所滞缓，还请您谅解。,"[""还请您谅解""]",物流,active,33,2026-06-06T06:50:11.149Z,2026-06-06T08:45:06.838Z
106,待（天气状况好转）后我们将第一…,待（天气状况好转）后我们将第一时间配送您的商品，在此也非常感谢您的耐心等候。,"[""客服""]",物流,active,32,2026-06-06T06:50:11.155Z,2026-06-06T08:45:01.796Z
